group1,group2,meandiff,p-adj,lower,upper,reject
AE,PK,17.3472,1.0,-17.2634,51.9578,False
AE,PL,-24.8508,0.7737,-56.588,6.8865,False
AE,PM,40.9062,0.9961,-20.8997,102.7121,False
AE,PR,-28.1614,0.0,-49.7766,-6.5462,True
AE,PS,-42.6179,0.0,-66.2333,-19.0024,True
AE,PT,-27.3098,0.0001,-48.5485,-6.071,True
AE,PW,-15.4,0.9982,-39.158,8.3581,False
AE,PY,-28.4232,1.0,-156.4165,99.57,False
AE,QA,18.7534,0.3476,-2.6678,40.1745,False
AE,RE,-21.995,1.0,-81.9586,37.9687,False
AE,RO,-14.6875,1.0,-88.4501,59.075,False
AE,RS,-15.5779,0.9337,-36.8883,5.7325,False
AE,RW,-66.4323,-0.0,-91.5426,-41.322,True
AE,SA,17.9154,0.6099,-3.9583,39.7891,False
AE,SB,-65.1035,-0.0,-89.6053,-40.6018,True
AE,SC,-17.9403,0.7835,-40.9226,5.042,False
AE,SE,-24.99,1.0,-98.7525,48.7725,False
AE,SG,-25.385,1.0,-95.9625,45.1926,False
AE,SH,19.3712,1.0,-67.648,106.3904,False
AE,SI,-10.3129,1.0,-97.3321,76.7063,False
AE,SJ,-1.5788,1.0,-34.0564,30.8987,False
AE,SK,-12.6066,1.0,-35.9512,10.7379,False
AE,SL,-100.3957,0.1067,-205.2691,4.4777,False
AE,SM,-51.2182,-0.0,-75.0201,-27.4164,True
AE,SN,-11.6606,1.0,-39.1095,15.7882,False
AE,SO,-46.5997,0.0,-70.4458,-22.7537,True
AE,SR,-34.8147,0.0,-57.2859,-12.3434,True
AE,SS,-33.8763,1.0,-114.1438,46.3911,False
AE,ST,-66.1226,0.9072,-155.1279,22.8827,False
AE,SV,-44.3813,-0.0,-65.9174,-22.8452,True
AE,SX,-58.1809,-0.0,-81.2354,-35.1264,True
AE,SZ,-29.7217,0.0,-52.3954,-7.048,True
AE,TC,-14.2945,1.0,-38.9187,10.3298,False
AE,TD,4.3115,1.0,-19.1662,27.7892,False
AE,TG,-44.125,0.9987,-112.8074,24.5574,False
AE,TH,-9.276,1.0,-31.6856,13.1336,False
AE,TJ,-41.2103,0.0,-63.5394,-18.8812,True
AE,TL,-41.1528,1.0,-116.0833,33.7777,False
AE,TM,-38.4957,0.0,-62.6812,-14.3103,True
AE,TN,-13.5187,0.9999,-35.6357,8.5983,False
AE,TO,-13.4933,1.0,-77.3396,50.3529,False
AE,TR,-19.3378,0.4303,-41.9141,3.2386,False
AE,TT,-14.5759,1.0,-66.3247,37.1729,False
AE,TV,-137.1557,-0.0,-164.1601,-110.1512,True
AE,TZ,-22.2881,0.0386,-44.2768,-0.2995,True
AE,UA,-37.1735,0.0,-58.7568,-15.5902,True
AE,UG,-38.929,0.0,-61.3386,-16.5194,True
AE,US,-17.273,1.0,-104.2922,69.7462,False
AE,UY,-3.4954,1.0,-25.0315,18.0407,False
AE,UZ,-47.885,0.0004,-87.4524,-8.3177,True
AE,VC,-35.3412,0.0,-57.9713,-12.7111,True
AE,VE,-39.1721,0.0,-60.8195,-17.5247,True
AE,VG,-17.0409,0.9596,-40.8574,6.7756,False
AE,VI,-23.5017,0.025,-46.1974,-0.8061,True
AE,VN,-4.4957,1.0,-26.9257,17.9343,False
AE,VU,-79.8045,-0.0,-112.9571,-46.6518,True
AE,WF,-91.5093,-0.0,-117.8192,-65.1995,True
AE,WS,-25.6426,0.0051,-48.7583,-2.5269,True
AE,YE,-37.7725,1.0,-128.9125,53.3675,False
AE,YT,-29.2904,0.0001,-52.6612,-5.9196,True
AE,ZA,-28.5062,0.0001,-51.3025,-5.7099,True
AE,ZM,-51.8591,0.842,-119.653,15.9348,False
AE,ZW,-31.5789,0.0,-53.5406,-9.6172,True
AF,AG,12.8702,1.0,-11.2469,36.9873,False
AF,AI,31.5614,0.0003,5.8274,57.2955,True
AF,AL,9.4515,1.0,-89.5808,108.4837,False
AF,AM,20.5614,0.4424,-3.517,44.6399,False
AF,AO,5.4311,1.0,-21.3544,32.2165,False
AF,AQ,-229.8846,-0.0,-267.5725,-192.1967,True
AF,AR,20.3062,0.3777,-3.0782,43.6906,False
AF,AS,-23.8741,0.0963,-48.6557,0.9076,False
AF,AT,22.2789,0.0928,-0.7944,45.3522,False
AF,AU,31.7265,0.0,7.9848,55.4683,True
AF,AW,29.4147,0.0748,-0.6633,59.4927,False
AF,AZ,13.454,1.0,-10.2195,37.1275,False
AF,BA,33.392,0.0,9.8016,56.9823,True
AF,BB,30.6013,0.0001,6.7542,54.4483,True
AF,BD,11.8411,1.0,-11.2528,34.935,False
AF,BE,17.2064,0.9999,-11.1658,45.5787,False
AF,BF,17.8013,0.9997,-10.8781,46.4806,False
AF,BG,32.9401,0.0,9.0481,56.8321,True
AF,BH,43.0077,0.0,20.6124,65.4029,True
AF,BI,-4.43,1.0,-28.5277,19.6678,False
AF,BJ,17.5703,0.9329,-6.451,41.5917,False
