iabCat,masculinity,interest,IgName,IgLevel1,IgLevel2,PinkMin,PinkAvg,PinkMax
Health & Fitness,-2104.0,6003058652481,Stomach,empty,Fitness and wellness,4.487822331453548,8.993941178048187,11.615282059835716
Arts & Entertainment,-2105.0,6003344902639,Marco Antonio Solís,Producer,People,-37.948659923684836,-22.947728537633846,-20.76055636329125
Arts & Entertainment,-2106.0,6003025310385,Massive Attack,Local Business,News and entertainment,30.19055435900716,70.51098354544158,99.60370353366274
Arts & Entertainment,-2107.0,6003315103314,Night,empty,Business and industry,2.187588552063188,16.678339679718373,16.981336585353834
Arts & Entertainment,-2108.0,6003354511451,Red carpet,empty,Hobbies and activities,16.17228728713648,18.622785306562132,19.19552050857598
Style & Fashion,-2109.0,6003215957945,Romper suit,empty,Shopping and fashion,3.0358636274873407,0.39798224084120104,-5.203283559122434
Religion & Spirituality,-2110.0,6003247642499,Conscience,empty,Lifestyle and culture,6.7269355268707445,12.97533907401753,11.396011007679423
Arts & Entertainment,-2111.0,6003376974841,M.I.A. (rapper),empty,People,25.909330544536132,-47.64314348578958,-36.712527814598914
Travel,-2112.0,6003386380363,Valparaíso,City,"Travel, places and events",-5.013049101666914,-50.09624031647436,-37.21408285107234
Food & Drink,-2113.0,6016388011921,Bebé,Athlete,empty,10.854398507699148,9.571792053791349,10.990799640205328
Education,-2114.0,6002960365920,American University of Beirut,College & University,Education,16.02993897822974,2.751315357211968,3.8680548301027637
Arts & Entertainment,-2115.0,6003371826074,Jonathan Groff,Artist,People,4.971496743995974,33.18916575897933,21.85703568727185
Society,-2116.0,6003716297983,LGBTQ Nation,News & Media Website,News and entertainment,2.5194543821478748,9.474974705937097,13.47613194439335
Health & Fitness,-2117.0,6003181118333,Human leg,empty,Fitness and wellness,1.8680275927205288,10.505058292879873,10.277668847307371
Home & Garden,-2118.0,6003254097682,Playground,empty,Family and relationships,9.961913925156484,17.39867343534211,17.919597568885713
Food & Drink,-2119.0,6004147643506,Platano,empty,News and entertainment,68.65050498468571,34.6358986746131,37.6458104244198
Business,-2120.0,6003290821441,Kuwait Petroleum Corporation,Community Organization,Business and industry,50.790084954634345,6.7066946466142925,10.073269502588655
Food & Drink,-2121.0,6003710898918,Pollo Campero,Food & Beverage Company,Food and drink,395.33686878150223,-43.80113897294774,-24.198872284606832
Religion & Spirituality,-2123.0,6003582617673,Abrahamic religions,empty,Lifestyle and culture,3.7348852784123574,21.349348850803715,20.119690139561392
Health & Fitness,-2124.0,6003103901029,Somatosensory system,empty,Business and industry,11.45558044214715,14.476628212071555,13.294741836357234
Style & Fashion,-2125.0,6003330468232,vogue taiwan,Magazine,News and entertainment,4.392801567337628,18.077427047155673,18.09157115431563
Arts & Entertainment,-2126.0,6003377031074,Harry Potter (film series),empty,News and entertainment,6.4561532442369085,9.043137579586293,10.601938138461055
Automotive,-2127.0,6003869868560,Arm,empty,Fitness and wellness,2.9329756536536564,3.713761036093337,4.552465979424512
Business,-2128.0,6002920967555,Playing card,empty,empty,3.942915818837589,6.0473868344973365,7.279823808342879
Travel,-2129.0,6003323270043,Manama,Business Service,"Travel, places and events",19.4481688603616,24.699576171953986,29.672701610912195
Style & Fashion,-2130.0,6003622679903,Rouge (cosmetics),empty,Shopping and fashion,5.731504037064172,8.792953521814932,11.704505142841915
Style & Fashion,-2131.0,6003605539420,Face powder,empty,Shopping and fashion,14.552124112409954,16.95741521574811,16.6434673967486
Society,-2132.0,6003030602207,International Women's Day,Local Business,empty,4.301873702440034,13.310869677284481,13.697321059134552
Food & Drink,-2133.0,6003051172216,Non-alcoholic beverage,Drink,Food and drink,8.181253129923608,2.9852522772616843,3.054121212084897
Hobbies & Interests,-2134.0,6003142268166,Latin dance,Sport,Sports and outdoors,6.948113531466208,31.872726790580224,31.612600851237374
Arts & Entertainment,-2135.0,6003278908302,Rodrigo (musician),empty,People,2.999696040019098,17.0766574068878,16.79316050720326
Food & Drink,-2136.0,6003641340907,Cinnamon,empty,Food and drink,-0.5065986487846352,9.720304978549422,10.67596346727565
Arts & Entertainment,-2137.0,6003150810636,Chopped (TV series),TV Show,News and entertainment,11.519119351206587,117.75341442238478,106.3752337564909
Arts & Entertainment,-2138.0,6003067841893,Cali (singer),Author,People,1.813007983146944,11.40752177583559,9.876111365522336
Pets,-2139.0,6002992197859,Labrador Retriever,Animal Breed,Hobbies and activities,1.5959096194832805,32.155808530464675,36.70839750864167
Shopping,-2140.0,6003441342206,Yves Rocher (company),Shopping & Retail,Business and industry,6.305239012214593,41.09721125241104,46.35551698611343
Arts & Entertainment,-2141.0,6003195192255,The Animals,empty,News and entertainment,-5.98287312274339,23.89642274186671,21.250258193979644
Shopping,-2142.0,6003420778431,Mail order,empty,Business and industry,-9.853709861939183,-0.08233182350489243,-0.6653008930324871
Shopping,-2143.0,6019154143076,AliExpress,Company,Business and industry,-6.265935941070893,1.0509158622065469,2.596016087095144
Arts & Entertainment,-2144.0,6003319851418,Harry Potter fandom,empty,News and entertainment,3.9175217169533227,17.4808838676695,17.82309672096775
Religion & Spirituality,-2145.0,6003428060069,Chakra,empty,Lifestyle and culture,2.062793968877047,8.971321951709248,9.046602673651918
Style & Fashion,-2146.0,6003286597969,Polyester,empty,Business and industry,2.867003708469418,7.874648338262806,7.521902039501956
Religion & Spirituality,-2147.0,6003677780518,Nondualism,empty,Lifestyle and culture,1.175389699539816,32.52419395039537,27.13065335521439
Law Government & Politics,-2148.0,6003690399107,Popular Will,Political Party,Lifestyle and culture,3.4680754353050753,19.08877020996553,17.59988232693579
Style & Fashion,-2149.0,6003276792551,Marie Claire,empty,News and entertainment,5.448221871460064,27.562860075669132,27.587214397654712
Style & Fashion,-2150.0,6003051641556,Animal print,empty,Food and drink,3.124719108157432,13.056952317837387,11.428433186688668
Careers,-2151.0,6003288202551,"Bachelor of Medicine, Bachelor of Surgery",empty,Business and industry,-2.358746531336023,9.126350349398038,9.574504926384146
Shopping,-2152.0,6003187017835,Dia (supermarket chain),empty,Business and industry,11.172428271739848,12.833625295698154,15.99137424274784
Hobbies & Interests,-2153.0,6003279997223,Shoemaking,empty,Business and industry,1.9663850012760433,18.83705257666791,19.41393190925581
Careers,-2154.0,6002918862822,Hospitality,empty,News and entertainment,1.620746211835467,13.802153054892038,12.06655251150023
Arts & Entertainment,-2155.0,6003250945661,Realism (arts),empty,Lifestyle and culture,18.065794545665803,52.70689667581987,37.56775691645801
Shopping,-2156.0,446495742225437,Daniel Wellington,Retail Company,empty,-5.547203901323329,28.31217585808353,19.608729784456294
Arts & Entertainment,-2157.0,6003192088072,Spoon (band),Musician/Band,News and entertainment,-2.590563651748,-30.758620194898995,-24.521517420971904
Travel,-2158.0,6002891078510,Sofia,empty,"Travel, places and events",-3.777316794988952,-51.928328309685945,-46.38697704272478
Travel,-2159.0,6003648143146,Florence,empty,"Travel, places and events",369.34789260398736,272.104295081336,320.4028480521676
Education,-2160.0,6003308361514,Mathematics,empty,Business and industry,16.86407114550183,-17.96201603524291,-3.447457750830208
Style & Fashion,-2161.0,6002970483374,Silhouette,empty,People,8.550119684158282,13.978283322226554,13.246718936667435
Automotive,-2162.0,6003009400450,Hairbrush,empty,Fitness and wellness,25.018985709743397,-4.425779719313786,-2.8443993308222137
Style & Fashion,-2163.0,6002978979720,Flip-flops,empty,Shopping and fashion,14.259200000817266,8.898909785829893,9.094727185281151
Travel,-2164.0,6003534261198,Monterrey,empty,"Travel, places and events",-41.74918759854658,68.54858741136863,53.85699412113996
Religion & Spirituality,-2165.0,6003204237013,Saint Peter,empty,People,2.471516423040358,20.968804110383843,20.75550310610548
Arts & Entertainment,-2166.0,6003584428838,Paulo Coelho,empty,People,9.5450266654733,21.295412425287918,22.89712007218286
Style & Fashion,-2167.0,6003680618907,Guess (clothing),empty,Shopping and fashion,5.521854276676539,4.019257617137912,5.923409052698268
Arts & Entertainment,-2168.0,6002959735320,Legendary creature,empty,News and entertainment,26.483752719637245,10.148756488759938,12.65046002555014
